Date : 2025-04-09 14:59:20
Directory : d:\demo\Back-End\Cukcuk.Api
Total : 78 files,  7639 codes, 34 comments, 1010 blanks, all 8683 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\demo\Back-End\Cukcuk.Api\Controllers\DocumentsController.cs                                                                     | C#           |        347 |          0 |         40 |        387 |
| d:\demo\Back-End\Cukcuk.Api\Controllers\EmployeesController.cs                                                                     | C#           |        232 |         21 |         37 |        290 |
| d:\demo\Back-End\Cukcuk.Api\Controllers\ImportsController.cs                                                                       | C#           |         65 |          0 |          6 |         71 |
| d:\demo\Back-End\Cukcuk.Api\Controllers\MenusController.cs                                                                         | C#           |        102 |          0 |          9 |        111 |
| d:\demo\Back-End\Cukcuk.Api\Controllers\MessagesController.cs                                                                      | C#           |         56 |          0 |          5 |         61 |
| d:\demo\Back-End\Cukcuk.Api\Controllers\PermissionsController.cs                                                                   | C#           |         79 |          0 |          7 |         86 |
| d:\demo\Back-End\Cukcuk.Api\Controllers\PositionsController.cs                                                                     | C#           |         83 |          0 |          9 |         92 |
| d:\demo\Back-End\Cukcuk.Api\Cukcuk.Api.csproj                                                                                      | XML          |         29 |          0 |          7 |         36 |
| d:\demo\Back-End\Cukcuk.Api\Program.cs                                                                                             | C#           |        144 |          2 |         26 |        172 |
| d:\demo\Back-End\Cukcuk.Api\Properties\launchSettings.json                                                                         | JSON         |         41 |          0 |          1 |         42 |
| d:\demo\Back-End\Cukcuk.Api\WordToMarkdown.md                                                                                      | Markdown     |      1,290 |          0 |      1,009 |      2,299 |
| d:\demo\Back-End\Cukcuk.Api\appsettings.Development.json                                                                           | JSON         |          8 |          0 |          1 |          9 |
| d:\demo\Back-End\Cukcuk.Api\appsettings.json                                                                                       | JSON         |         26 |          0 |          1 |         27 |
| d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.deps.json                                                                  | JSON         |      2,983 |          0 |          0 |      2,983 |
| d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.runtimeconfig.json                                                         | JSON         |         20 |          0 |          0 |         20 |
| d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.staticwebassets.endpoints.json                                             | JSON         |        170 |          0 |          0 |        170 |
| d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.staticwebassets.runtime.json                                               | JSON         |          1 |          0 |          0 |          1 |
| d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\appsettings.Development.json                                                          | JSON         |          8 |          0 |          1 |          9 |
| d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\appsettings.json                                                                      | JSON         |         26 |          0 |          1 |         27 |
| d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.EntityFrameworkCore.targets                                                      | XML          |         28 |          0 |          1 |         29 |
| d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.dgspec.json                                                                | JSON         |        340 |          0 |          0 |        340 |
| d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.g.props                                                                    | XML          |         25 |          0 |          0 |         25 |
| d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.g.targets                                                                  | XML          |         10 |          0 |          0 |         10 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                        | C#           |          3 |          1 |          1 |          5 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\ApiEndpoints.json                                                                     | JSON         |      1,571 |          0 |          0 |      1,571 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.AssemblyInfo.cs                                                            | C#           |          9 |         10 |          5 |         24 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.GeneratedMSBuildEditorConfig.editorconfig                                  | EditorConfig |         21 |          0 |          1 |         22 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.GlobalUsings.g.cs                                                          | C#           |         16 |          1 |          1 |         18 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.MvcApplicationPartsAssemblyInfo.cs                                         | C#           |          3 |         10 |          5 |         18 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.sourcelink.json                                                            | JSON         |          1 |          0 |          0 |          1 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\EndpointInfo\Cukcuk.Api.json                                                          | JSON         |      3,349 |          0 |          0 |      3,349 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.build.endpoints.json                                                  | JSON         |        170 |          0 |          0 |        170 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.build.json                                                            | JSON         |        228 |          0 |          0 |        228 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.development.json                                                      | JSON         |          1 |          0 |          0 |          1 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.pack.json                                                             | JSON         |         33 |          0 |          0 |         33 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.Cukcuk.Api.Microsoft.AspNetCore.StaticWebAssetEndpoints.props | XML          |         28 |          0 |          0 |         28 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.Cukcuk.Api.Microsoft.AspNetCore.StaticWebAssets.props         | XML          |         40 |          0 |          0 |         40 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.build.Cukcuk.Api.props                                        | XML          |          4 |          0 |          0 |          4 |
| d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Cukcuk.Api.props                          | XML          |          3 |          0 |          0 |          3 |
