"filename", "language", "JSON", "C#", "EditorConfig", "XML", "Markdown", "comment", "blank", "total"
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.Cukcuk.Api.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 0, 0, 40, 0, 0, 0, 40
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.build.Cukcuk.Api.props", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Cukcuk.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Cukcuk.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 10, 5, 24
"d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 19, 0, 0, 0, 1, 20
"d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.GlobalUsings.g.cs", "C#", 0, 16, 0, 0, 0, 1, 1, 18
"d:\demo\Back-End\Cukcuk.Api\obj\project.assets.json", "JSON", 9679, 0, 0, 0, 0, 0, 0, 9679
"d:\demo\Back-End\Cukcuk.Infrastructure\Cukcuk.Infrastructure.csproj", "XML", 0, 0, 0, -23, 0, 0, -5, -28
"d:\demo\Back-End\Cukcuk.Infrastructure\Data\ApplicationDbContext.cs", "C#", 0, -210, 0, 0, 0, 0, -44, -254
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\CustomerGroupRepository.cs", "C#", 0, -35, 0, 0, 0, 0, -7, -42
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\CustomerRepository.cs", "C#", 0, -195, 0, 0, 0, 0, -37, -232
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\DepartmentRepository.cs", "C#", 0, -40, 0, 0, 0, 0, -8, -48
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\DocumentRepository.cs", "C#", 0, -250, 0, 0, 0, 0, -68, -318
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\EmployeeRepository.cs", "C#", 0, -215, 0, 0, 0, 0, -37, -252
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\ImportRepository.cs", "C#", 0, -52, 0, 0, 0, 0, -11, -63
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\MenuRepository.cs", "C#", 0, -40, 0, 0, 0, 0, -8, -48
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\MessageRepository.cs", "C#", 0, -80, 0, 0, 0, 0, -16, -96
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\PermissionRepository.cs", "C#", 0, -46, 0, 0, 0, 0, -9, -55
"d:\demo\Back-End\Cukcuk.Infrastructure\Repositories\PositionRepository.cs", "C#", 0, -39, 0, 0, 0, 0, -7, -46
"d:\demo\Back-End\Cukcuk.Infrastructure\bin\Debug\net8.0\Cukcuk.Infrastructure.deps.json", "JSON", -3117, 0, 0, 0, 0, 0, 0, -3117
"d:\demo\Back-End\Cukcuk.Infrastructure\bin\Debug\net8.0\Cukcuk.Infrastructure.runtimeconfig.json", "JSON", -19, 0, 0, 0, 0, 0, 0, -19
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Cukcuk.Infrastructure.csproj.EntityFrameworkCore.targets", "XML", 0, 0, 0, -28, 0, 0, -1, -29
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Cukcuk.Infrastructure.csproj.nuget.dgspec.json", "JSON", -234, 0, 0, 0, 0, 0, 0, -234
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Cukcuk.Infrastructure.csproj.nuget.g.props", "XML", 0, 0, 0, -25, 0, 0, 0, -25
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Cukcuk.Infrastructure.csproj.nuget.g.targets", "XML", 0, 0, 0, -9, 0, 0, 0, -9
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, -3, 0, 0, 0, -1, -1, -5
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\Cukcuk.Infrastructure.AssemblyInfo.cs", "C#", 0, -9, 0, 0, 0, -10, -5, -24
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\Cukcuk.Infrastructure.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, -15, 0, 0, 0, -1, -16
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\Cukcuk.Infrastructure.GlobalUsings.g.cs", "C#", 0, -7, 0, 0, 0, -1, -1, -9
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\Cukcuk.Infrastructure.sourcelink.json", "JSON", -1, 0, 0, 0, 0, 0, 0, -1
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, -3, 0, 0, 0, -1, -1, -5
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Release\net8.0\Cukcuk.Infrastructure.AssemblyInfo.cs", "C#", 0, -9, 0, 0, 0, -10, -5, -24
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Release\net8.0\Cukcuk.Infrastructure.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, -13, 0, 0, 0, -1, -14
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\Release\net8.0\Cukcuk.Infrastructure.GlobalUsings.g.cs", "C#", 0, -7, 0, 0, 0, -1, -1, -9
"d:\demo\Back-End\Cukcuk.Infrastructure\obj\project.assets.json", "JSON", -9801, 0, 0, 0, 0, 0, 0, -9801
"Total", "-", 5724, 528, 12, 85, 1290, 34, 1010, 8683
