"filename", "language", "C#", "EditorConfig", "XML", "JSON", "Markdown", "comment", "blank", "total"
"d:\demo\Back-End\Cukcuk.Api\Properties\launchSettings.json", "JSON", 0, 0, 0, 41, 0, 0, 1, 42
"d:\demo\Back-End\Cukcuk.Api\WordToMarkdown.md", "Markdown", 0, 0, 0, 0, 1290, 0, 1009, 2299
"d:\demo\Back-End\Cukcuk.Api\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Api\appsettings.json", "JSON", 0, 0, 0, 26, 0, 0, 1, 27
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.deps.json", "JSON", 0, 0, 0, 2983, 0, 0, 0, 2983
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.runtimeconfig.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 20
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.staticwebassets.endpoints.json", "JSON", 0, 0, 0, 170, 0, 0, 0, 170
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\Cukcuk.Api.staticwebassets.runtime.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 1, 9
"d:\demo\Back-End\Cukcuk.Api\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 0, 26, 0, 0, 1, 27
"d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.EntityFrameworkCore.targets", "XML", 0, 0, 28, 0, 0, 0, 1, 29
"d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 340, 0, 0, 0, 340
"d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.g.props", "XML", 0, 0, 25, 0, 0, 0, 0, 25
"d:\demo\Back-End\Cukcuk.Api\obj\Cukcuk.Api.csproj.nuget.g.targets", "XML", 0, 0, 10, 0, 0, 0, 0, 10
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\ApiEndpoints.json", "JSON", 0, 0, 0, 1571, 0, 0, 0, 1571
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 10, 5, 24
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 21, 0, 0, 0, 0, 1, 22
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 1, 1, 18
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.MvcApplicationPartsAssemblyInfo.cs", "C#", 3, 0, 0, 0, 0, 10, 5, 18
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\Cukcuk.Api.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\EndpointInfo\Cukcuk.Api.json", "JSON", 0, 0, 0, 3349, 0, 0, 0, 3349
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.build.endpoints.json", "JSON", 0, 0, 0, 170, 0, 0, 0, 170
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 0, 0, 228, 0, 0, 0, 228
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.development.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets.pack.json", "JSON", 0, 0, 0, 33, 0, 0, 0, 33
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.Cukcuk.Api.Microsoft.AspNetCore.StaticWebAssetEndpoints.props", "XML", 0, 0, 28, 0, 0, 0, 0, 28
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.Cukcuk.Api.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 0, 40, 0, 0, 0, 0, 40
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.build.Cukcuk.Api.props", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Cukcuk.Api.props", "XML", 0, 0, 3, 0, 0, 0, 0, 3
"d:\demo\Back-End\Cukcuk.Api\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Cukcuk.Api.props", "XML", 0, 0, 3, 0, 0, 0, 0, 3
"d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 10, 5, 24
"d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 19, 0, 0, 0, 0, 1, 20
"d:\demo\Back-End\Cukcuk.Api\obj\Release\net8.0\Cukcuk.Api.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 1, 1, 18
"d:\demo\Back-End\Cukcuk.Api\obj\project.assets.json", "JSON", 0, 0, 0, 9679, 0, 0, 0, 9679
"Total", "-", 1768, 40, 170, 18896, 1290, 58, 1284, 23506
